date,id,url,content,user,user_displayname,reply_count,retweet_count,like_count,sentiment_score,is_negative
2022-12-03 09:49:07+00:00,1598977624877191169,https://x.com/teru_0927/status/1598977624877191169,"野球選手はアメリカ英語話す人が多いけど、サッカー選手はイギリスアクセントの人が多いね！特に吉田選手はとてもイギリス英語感あるし、堂安選手もイギリス寄りに感じる！
面白いのは三苫選手で、何故かドイツっぽい訛りを感じる！（tの音発音するときtsみたいに聞こえる）
youtu.be/6eDHeDu1xNI",teru_0927,てるさちHabu先生ファミリー応援,0.0,0.0,0.0,-22,True
2022-12-03 09:54:51+00:00,1598979067566788608,https://x.com/mangakokeshi/status/1598979067566788608,"ブライトンが三苫プレー集upしとるのね。三カ月で徐々に出場機会増えてって感じだな。
youtu.be/9Re8FO25Ogo",mangakokeshi,こけし工場,0.0,0.0,0.0,-8,True
2022-12-03 10:07:25+00:00,1598982227622506496,https://x.com/nkyut/status/1598982227622506496,"三苫選手や鎌田選手はジャイキリの椿選手のようだな、とW杯を観ていて感じたりたので、ジャイキリを読み直してる。ジャイキリ最高。
ebookjapan.yahoo.co.jp/books/120481/",nkyut,ナカタニエイト新規事業責任者＆脚本家,0.0,0.0,1.0,-7,True
2022-12-03 10:20:15+00:00,1598985459451166721,https://x.com/Qqdmf2/status/1598985459451166721,2010オランダ戦の左サイド大久保ルーレットがやたら鮮烈で記憶に残ってるけど、三苫の振り切れた加速も記憶に残るなこれは,Qqdmf2,懸垂あざらし,0.0,0.0,2.0,-10,True
2022-12-03 10:22:00+00:00,1598985898443489280,https://x.com/tok_1212/status/1598985898443489280,黄金期のジュビロと同じ感じだよね。つまり世代交代しくじるとこっから5年で上位に絡めなくなって10年で降格のピンチに陥る。＞全盛期の川崎フロンターレ、三苫に田中碧に守田に谷口…そら強い : footballnet【サッカー5chまとめ】,tok_1212,tok,0.0,2.0,2.0,-21,True
2022-12-03 10:24:54+00:00,1598986626746568705,https://x.com/discharge100/status/1598986626746568705,サッカーW杯スペイン戦後の三苫選手と田中選手のやり取りを知った時、どんなフィクションもこれには霞んでしまうと思った,discharge100,Xiba(ジバ) / 12/3(水) DJイベント@調布Cross,1.0,0.0,2.0,-10,True
2022-12-03 10:26:00+00:00,1598986903847854080,https://x.com/niji37/status/1598986903847854080,"三苫選手 凄すぎる…
技術は勿論だけど
トップスピードできて
ボールを奪えるって… 
x.com/Y_fm919/status
…",niji37,一美,0.0,0.0,1.0,-4,True
2022-12-03 10:32:35+00:00,1598988561524871168,https://x.com/dedededenroku2/status/1598988561524871168,三苫,dedededenroku2,吉田隼人／Yoda,0.0,0.0,5.0,-1,True
2022-12-03 10:33:05+00:00,1598988685835644930,https://x.com/asenalasenal/status/1598988685835644930,三苫の件で、日韓ワールドカップの時のスペイン戦のあれもVAR時代の今だったら結果変わってたのかなと思って少しググってみたら惜しくともなんともないレベルで草,asenalasenal,あーせなる@大三国志真戦,0.0,0.0,2.0,-12,True
2022-12-03 10:40:08+00:00,1598990460105928704,https://x.com/bridgeco_jp/status/1598990460105928704,"三苫は止められない前提でドリブルしてるから、こけ方がすべて前のめりで美しい…男だけど惚れるわー
真・三笘無双2 【三笘薫のドリブル集】-MITOMA skills all of his career 2017〜2022- 
youtu.be/WMWiMHuuWUo 
@YouTube
より",bridgeco_jp,ハシバジン,0.0,0.0,0.0,-4,True
2022-12-03 10:41:25+00:00,1598990785806209026,https://x.com/YoshiKita_Cam/status/1598990785806209026,"【FIFAが正式発表】

ラインを割っていない映像を公開

改めて三苫さんの凄さがわかる

なんであのボールをマイナスかつ浮かせて折返しができるのか…

ライン判定と共に

三苫さんのプレーが異次元であることを証明する映像やな

（ミランに移籍してください）←ミラニスタ心の声",YoshiKita_Cam,YoshiKita,0.0,0.0,5.0,-24,True
2022-12-03 10:50:44+00:00,1598993127507136513,https://x.com/bcgkmrrsy/status/1598993127507136513,"メンバーに酒クズやと思われてるのほんまにやばいできのちゃん...酒やめような...!
あとなんかプロサッカーチップスについてきた三苫選手のカード",bcgkmrrsy,みやびん,1.0,0.0,20.0,-9,True
2022-12-03 10:55:23+00:00,1598994299957678081,https://x.com/splshuun/status/1598994299957678081,ここの寿司屋何回か来たことあるのに三苫薫と田中碧のサインあるの今日気づいたのどぐろうますぎん？？？？？,splshuun,どんし,0.0,0.0,4.0,-8,True
2022-12-03 11:02:54+00:00,1598996190540222466,https://x.com/nkyut/status/1598996190540222466,"日本代表のレジェンド2選手も鬼プレスの前田選手と執念の三苫選手をあげているので、サッカーを観る目はありそうだな、と自画自賛をしているところw
news.yahoo.co.jp/articles/8e89e
…",nkyut,ナカタニエイト新規事業責任者＆脚本家,0.0,0.0,1.0,-17,True
2022-12-03 11:06:19+00:00,1598997051127517185,https://x.com/hilariouskdrama/status/1598997051127517185,"三苫選手と田中選手が幼なじみで兄弟みたいに仲良しなのが、もう少年マンガの主人公みたいで
#鷺沼兄弟 
て呼ばれてるんですね。
「信じていたよ!」
三苫選手が田中選手に声をかける映像はもう映画のワンシーンみたいでした。
#FIFAWorldCup2022",hilariouskdrama,hilak,0.0,0.0,3.0,-14,True
2022-12-03 11:08:41+00:00,1598997646416687104,https://x.com/jump09240622/status/1598997646416687104,"三苫選手のゴールやばかったよねぇ…！
本当に数ミリの世界…
#nhkらじらー",jump09240622,ちゃんちゃんちゃん,0.0,0.0,1.0,-10,True
2022-12-03 11:09:12+00:00,1598997778222682113,https://x.com/keiroha622/status/1598997778222682113,"薮ちゃんに「誰？」って三苫選手情報を得る伊野尾くん
相変わらずやぶいのあって嬉しいな

#nhkらじらー #伊野尾慧 #八乙女光",keiroha622,いろは,0.0,1.0,13.0,-6,True
2022-12-03 11:10:29+00:00,1598998097694101504,https://x.com/_l0key_im/status/1598998097694101504,"三苫選手のことを「だれ？」と薮ちゃんに聞いた伊野尾くん「俺の話してることは全て薮と知念に聞いたこと。今日も薮と知念にお願いしてたのよ、歌番組もあるからさ、1時間(らじらー)来てサッカーの話してよと。でも今メイクしてるからダメだと」
サッカーで盛り上がるいのやぶちね良き #nhkらじらー",_l0key_im,み,0.0,5.0,21.0,-19,True
